歌手名字,歌手ID
小蓓蕾组合,166005
Soler,12721
221小伙伴,30892270
Saiakoup,12083147
situasian张太郎,1153005
展展与罗罗,12475735
花儿乐队,11761
时光胶囊,855599
404 RAPPER,30003804
CLARE,12077115
夏日入侵企画,12383009
Christmas,11322
爱星人,1050216
匠音夫妇,34281312
Round_2,12127507
霹雳布袋戏,12639
JandZ,33772280
筷子兄弟,12081
鸾音社,30616219
Mr.,12266
HOYO-MiX,12487174
一棵小葱,12128298
JS,11952
歌手名字,歌手ID
Alan Walker,1045123
XXXTENTACION,12107961
Justin Bieber,35531
Charlie Puth,90331
Troye Sivan,45129
Martin Garrix,780003
Shawn Mendes,956238
Lauv,1057226
Eminem,32665
ILLENIUM,1050518
YNW Melly,13672034
Zedd,46376
Avicii,45236
Marshmello,1060019
Digital Farm Animals,840929
9lokknine,32444358
Ed Sheeran,33184
R3hab,197248
Bruno Mars,178059
Tanir,12533932
Calvin Harris,29968
Drake,53283
SoMo,892040
Lost Frequencies,1039114
Wiz Khalifa,46006
keshi,12544511
Russ,241588
Rich Brian,12024301
Shiloh Dynasty,12647577
lil sophy,12335367
Tobu,964486
Post Malone,1057092
Jeremy Zucker,12096183
Jonas Blue,1192069
TheFatRat,1019952
ThimLife,1046016
Kurt Hugo Schneider,37962
Alec Benjamin,1028104
Mr. Polska,1161187
Young Thug,287014
The Weeknd,185858
Ember Island,1100001
bbno$,12054171
Jon Bellion,860113
Khalid,301757
David Guetta,31211
英语听力,861973
Aaron Smith,145965
Luh Kel,31508096
Jake Miller,776761
Sam Tsui,43722
DJ Blyatman,31586577
Timmy Trumpet,858362
sapientdream,13011210
will.i.am,45838
Lil Wayne,38118
Olly Murs,41034
Max Oazo,13159084
DJ Snake,296416
Janieck,12132070
Tony Igy,990184
Lucky Luke,487609
MKJ,469200
Future,33794
White Cherry,28390245
Conor Maynard,29020
Dirty Palm,1155029
Mike Williams,302020
TRA$H,12544560
James Blunt,35329
Martin Jensen,1060055
Lil Nas X,31646483
Pegato,1115041
Demxntia,12598596
AnDyWuMUSICLAND,11998011
Michael Jackson,38853
Conor Ross,13128139
Kygo,844410
Tyga,45033
Joel Adams,1188100
Austin Mahone,29121
Deorro,366358
Travis Scott,737012
Daddy Yankee,31297
Reynard Silva,42608
Justin Timberlake,35331
Krono,438424
gnash,1137226
ROOK1E,12175279
ZAYN,1108049
Danny Avila,471420
Flo Rida,56783
Blaze U,12097142
Steve Aoki,43608
Tim Legend,12006158
Toby Fox,1193377
Meduza,136629
Gavin Degraw,33856
Feder,1046466
Sub Urban,29722383
歌手名字,歌手ID
Billie Eilish,11972054
Taylor Swift,44266
Sasha Sloan,12646102
Selena Gomez,140196
Sia,74625
MADILYN,69270
Rihanna,72724
Nevve,12567101
Halsey,964321
Camila Cabello,12136039
Cozi Zuehlsdorff,1097153
Meron Ryan,1181020
Noah Cyrus,12175271
Ariana Grande,48161
Katie Sky,64076
Kina,12826481
Lana Del Rey,66212
Lady Gaga,64147
Kesha,63901
Ava Max,14486166
Carly Rae Jepsen,50934
Ellie Goulding,56598
Nicki Minaj,70183
Kelly Clarkson,62885
Zella Day,900106
Adele,46487
Iselin Solheim,1078390
Raye,1077053
Bea Miller,908180
Dua Lipa,1135086
Skylar Grey,74801
Avril Lavigne,46490
Phoebe Ryan,854363
Doja Cat,911131
